keyword,tweet_id,username,handle,text,sentiment,url,datetime,likes,retweets,replies,tweets_per_date
pasokan bbm OR bbm OR energi,2049639276875567213,#PlanningProcesses,CHPStar,"@Kemhan_RI @sjafriesjams @prabowo @pusbindiklatren Atas Krisis Definisi Energi Nasional (Koperasi, BUMN dan Swasta), siapakah yang bertanggung jawab?  Dampak buruk dari #EnergyDefinition adalah #PlanningProcesses mogok.  CC @BappenasRI @Gerindra @DPPGolkar_ @PDI_Perjuangan @PKSejahtera  @Kemhan_RI  @DPR_RI",Neutral,https://x.com/status/2049639276875567213,2026-04-29 23:57:38,0,0,0,40
pasokan bbm OR bbm OR energi,2049639170335969369,leblebleb,nobaduthere,energi sudah banyak tapi gaada yg ditulis si kocak satu ini penuh dengan bercanda,Neutral,https://x.com/status/2049639170335969369,2026-04-29 23:57:13,0,0,0,40
pasokan bbm OR bbm OR energi,2049638194673820107,Stela Rdwu,SRdwu76204,"Indonesia akan menjadi kaya BBM, pemurnian dari perkebunan sawit, tebu, jambu mete, sampah dan batubara @prabowo @ListyoSigitP @setkabgoid @brin_indonesia @Kemdiktisaintek @kementan @KemenkeuRI @kemendespdt @itbofficial @its_campus @ipbofficial @LPEMFEBUI https://t.co/3zuqTqXG50",Neutral,https://x.com/status/2049638194673820107,2026-04-29 23:53:20,0,0,0,40
pasokan bbm OR bbm OR energi,2049638129616011269,#PrayforKanjuruhan,lvur_self,Caprk nyerep energi negatifmu,Neutral,https://x.com/status/2049638129616011269,2026-04-29 23:53:05,0,0,0,40
pasokan bbm OR bbm OR energi,2049638112985584120,bala widhie,widiyan70230601,"Kebijakan Prabowo Subianto untuk tidak menaikkan harga BBM bersubsidi mendapat apresiasi dari Mendes PDT Yandri Susanto. Langkah ini dinilai sebagai bentuk keberpihakan nyata kepada rakyat kecil, khususnya masyarakat desa yang paling merasakan dampak harga energi. https://t.co/jYs18onoOU",Neutral,https://x.com/status/2049638112985584120,2026-04-29 23:53:01,0,0,0,40
pasokan bbm OR bbm OR energi,2049637872039559626,Odong,kdzak27,@SAASH1MI Pake BBM lgie,Neutral,https://x.com/status/2049637872039559626,2026-04-29 23:52:03,0,0,0,40
pasokan bbm OR bbm OR energi,2049637695811727789,TRANS TV,TRANSTV_CORP,"Jogja, siap-siap! 🎉 Jogja Financial Festival hadir di Mei 2026 membawa pengalaman literasi keuangan yang dikemas lebih fresh, seru, dan penuh energi!  Mulai dari Educational Class, Business Talks bersama para pemimpin industri, Financial Exhibition, sampai Comedy Show dan konser https://t.co/jmKLqtsano",Positive,https://x.com/status/2049637695811727789,2026-04-29 23:51:21,1,0,0,40
pasokan bbm OR bbm OR energi,2049637691936182513,Giggly Georgy 🇮🇩 in 🇦🇺,DakotaGeorgy,Karena aku penghasilannya AUD$ untuk membiayai rumah dan segala kebutuhan rutinnya di Indonesia dalam IDR Rp. Maka aku senang 😂✌🏽 lumayan ngirit dollarnya naik dari 10 ribuan ke 12 ribu untuk mengimbangi pengeluaran di oz akibat naiknya bbm di Australi yg gila2 an 😭 https://t.co/EwIjpZxhhk,Neutral,https://x.com/status/2049637691936182513,2026-04-29 23:51:20,5,0,1,40
pasokan bbm OR bbm OR energi,2049637251982958841,lyyuni_ faradilla,LyyuniF,@Joyandfunwithme @SosmedAnu Aku tukang pijat sebenernya males juga kalo di ajak ngobrol terus tapi kadang ada customer yg demen banget ngomong malah bikin  energi cepet abis kalo sambil ngobrol dan jadi ngga fokus,Neutral,https://x.com/status/2049637251982958841,2026-04-29 23:49:35,9,0,1,40
pasokan bbm OR bbm OR energi,2049637156440911978,LUDFI,ludfi1000,@RadioElshinta SPBU di Rest Area sepanjang Tol Padaleunyi Pagi ini banyak truk/ kontener berhenti di SPBU utk isi solar shg bikin macet kendaraan yg akan isi BBM lain,Neutral,https://x.com/status/2049637156440911978,2026-04-29 23:49:13,0,0,0,40
