keyword,tweet_id,username,handle,text,sentiment,url,datetime,likes,retweets,replies,tweets_per_date
pasokan bbm,2041301420343959582,ℍ𝕒𝕣𝕤𝕠𝕟𝕠 🚴‍♀️🚴‍♀️,harsono__,Kiprah Pak Bahlil Lahadalia @bahlillahadalia adalah cerita tentang konsistensi: dari mengawal investasi di era Pak Joko Widodo @jokowi hingga menjaga stabilitas energi di masa Pak Prabowo Subianto @prabowo  Saat pertama kali masuk kabinet  Jokowi sebagai Menteri Investasi/Kepala,Neutral,https://x.com/status/2041301420343959582,2026-04-06 23:45:58,6,2,0,21
pasokan bbm,2041169055470546948,Elshinta Tegal,elshinta_tegal,KKKS didorong bawa pulang produksi minyak luar negeri demi jaga pasokan BBM https://t.co/8NNmcTcjnl,Neutral,https://x.com/status/2041169055470546948,2026-04-06 15:00:00,0,0,0,21
pasokan bbm,2041155075289289146,Radio Elshinta,RadioElshinta,"Harga Avtur Melonjak, Pemerintah Jaga Harga Tiket Pesawat Tetap Terjangkau  Jakarta - Pemerintah memastikan harga tiket pesawat akan tetap terjangkau meski harga avtur melonjak imbas perang di Timur Tengah yang makin meluas.  Menteri Koordinator Bidang Perekonomian Airlangga https://t.co/DfNm4vzT7t",Neutral,https://x.com/status/2041155075289289146,2026-04-06 14:04:27,0,0,0,21
pasokan bbm,2041151762430919018,tribunlampung,tribunlampung_,Gubernur Lampung Ingatkan Gangguan Pasokan BBM Bisa Muncul karena Panic Buying   https://t.co/5fQFAY93NH lewat @tribunnews,Neutral,https://x.com/status/2041151762430919018,2026-04-06 13:51:17,0,0,0,21
pasokan bbm,2041121860025483381,tvOnenews,tvOneNews,"Perdana Menteri Malaysia, Anwar Ibrahim, terang-terangan mengakui pasokan BBM Petronas hanya cukup sampai bulan Mei 2026.  Simak selengkapnya di https://t.co/9amo7gavRy #hardnews_sosial #NewsOne #CariBeritaditvOne #KrisisBBM #Malaysia #NO04 https://t.co/1PP9UMW3PR",Neutral,https://x.com/status/2041121860025483381,2026-04-06 11:52:28,4,0,0,21
pasokan bbm,2041115288121606307,EDD,eddesign_,"Exit Permit US$ 2 juta ke Iran realistiskah?  Ada 2 kapal, Pride dan Gamsunoro. PERTAMINA PRIDE (VLCC) dgn kapasitas 301.000 – 301.781 DWT. Muatan bisa mencapai 2 juta barel minyak mentah (light crude oil). Tujuan clear u/ kebutuhan energi dlm negeri (pasokan ke Cilacap, dll). https://t.co/hpd3OI8tyZ",Neutral,https://x.com/status/2041115288121606307,2026-04-06 11:26:21,3,2,1,21
pasokan bbm,2041108991791767780,Kr,karirfess,News: Bahlil Lahadalia menyebut pemerintah Republik Indonesia (RI) membuka opsi impor bahan bakar minyak (BBM) dari negara mana saja untuk menjaga ketersediaan pasokan energi nasional https://t.co/xhvKrisiig,Neutral,https://x.com/status/2041108991791767780,2026-04-06 11:01:20,112,13,28,21
pasokan bbm,2041101109377593370,tempo.co,tempodotco,Gejolak geopolitik di Timur Tengah yang terus berlanjut mengancam ketahanan bahan bakar minyak (BBM) dan elpiji. Berpotensi menekan pasokan dan fiskal secara bersamaan.  #TempoPlus https://t.co/mT7GxtWjUj,Neutral,https://x.com/status/2041101109377593370,2026-04-06 10:30:00,19,3,0,21
pasokan bbm,2041077657354543333,antaranews.com,antaranews,"Menteri ESDM Bahlil Lahadalia menyampaikan membuka opsi impor minyak dari negara mana pun, termasuk Rusia, untuk menjamin keamanan pasokan BBM di Indonesia.  “Kalau sudah jadi (impor dari Rusia), saya akan kabari, ya,” ujar Bahlil.  Ketahui selengkapnya ⬇️⬇️⬇️ https://t.co/l5keZRg7Zv",Neutral,https://x.com/status/2041077657354543333,2026-04-06 08:56:49,9,1,6,21
pasokan bbm,2041076955211010318,Romi Saputra,putrapostdaily,"Australia kembali memberikan jaminan bahwa pasokan bahan bakar minyak (BBM) di dalam negeri masih terkendali, meski konflik di Timur Tengah terus memicu kekhawatiran gangguan rantai pasokan global. Pemerintah Australia menyatakan bahwa kapal‑kapal pengangkut BBM tetap berdatangan",Neutral,https://x.com/status/2041076955211010318,2026-04-06 08:54:02,4,0,0,21
pasokan bbm,2041073958850900195,Bisnis.com,Bisniscom,Pemerintah membuka peluang impor bahan bakar minyak (BBM) dari Rusia sebagai salah satu pilihan untuk menjamin pasokan energi domestik di tengah ketatnya persaingan pengadaan di pasar global. Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia… https://t.co/bYEIHmVebm https://t.co/XKzNIdq314,Neutral,https://x.com/status/2041073958850900195,2026-04-06 08:42:07,1,0,0,21
pasokan bbm,2041071021420351999,detikoto,detikoto,PM Malaysia Sebut Pasokan BBM Petronas Cuma Cukup Sampai Mei https://t.co/lxKUFkGJd3,Neutral,https://x.com/status/2041071021420351999,2026-04-06 08:30:27,0,0,0,21
pasokan bbm,2041063105976058019,suaradotcom,suaradotcom,"Bahlil sebut RI harus berebut minyak dengan negara lain karena pasokan global yang kian menipis  ""Tapi sekarang adalah kita dalam kondisi seperti ini, selalu membuka opsi dari negara mana saja. Karena hari ini kan kita harus menjamin ketersediaan BBM. Jadi jangan kita milih-milih",Neutral,https://x.com/status/2041063105976058019,2026-04-06 07:59:00,0,0,0,21
