keyword,tweet_id,username,handle,text,sentiment,url,datetime,likes,retweets,replies,tweets_per_date
pln merugi since_time:1772367140 until_time:1772370980,2028089817188405409,ra 🍫,ohyullof,dikabarkan pln merugi karena king lngshot menyala tanpa token,Neutral,https://x.com/status/2028089817188405409,2026-03-01 12:47:47,0,0,0,1
pln merugi since_time:1772526546 until_time:1772529186,2028756921336119442,Arvie Mahendra,Artleus,@chanyeolpr @ferr8ri @carbxnates Pln mengaku merugi karna bro arvie menyala tanpa listrik🔥,Neutral,https://x.com/status/2028756921336119442,2026-03-03 08:58:37,0,0,1,1
pln merugi since_time:1772722739 until_time:1772727539,2029580288100356177,Kev Jim Jack,fiberoptic30D,"@kompascom PLN monopoli listrik tapi selalu merugi, tapi pegawainya tetap kaya",Neutral,https://x.com/status/2029580288100356177,2026-03-05 15:30:23,0,0,0,1
pln merugi since_time:1772841333 until_time:1772843973,2030071076005499295,shawmpurno,MAS_bowik,"@ardisatriawan Selama ini kan PLN selalu merugi, makanya di anjurkan pindah ke kompor listrik biar beban keluarga nambah,",Neutral,https://x.com/status/2030071076005499295,2026-03-07 00:00:36,0,0,0,2
pln merugi since_time:1772918935 until_time:1772923555,2030395588425228450,Ronald Tatimu,umitatDlanor24,"@doctor__fabre @bryan_chung09 Pt PLN yg merugi, tp aparat n keparat disana untung n bergenang uang^rakyat semua mrk dg mitra""kerjanya.",Neutral,https://x.com/status/2030395588425228450,2026-03-07 21:30:05,0,0,0,2
pln merugi since_time:1773055355 until_time:1773058235,2030969014172963000,ؘojan telkomsel | kinda ia,teriguf,@keonhooftmd DIKABARKAN PLN MERUGI KARENA KAKAK INI MENYALA TANPA TOKENN,Neutral,https://x.com/status/2030969014172963000,2026-03-09 11:28:41,1,0,0,1
pln merugi since_time:1773146161 until_time:1773150601,2031355245734015197,allen.,dazedskite,@starfess dikabarkan PLN merugi karena Sung Hanbin menyala tanpa token 🔥💥,Neutral,https://x.com/status/2031355245734015197,2026-03-10 13:03:25,135,0,0,2
pln merugi since_time:1773155163 until_time:1773159483,2031400100111831258,jokodoloqqqq,jokodoloq,"@Asalatiga1 @amrudinnejad_ Asal adil aja, jangan main pesanan??? Semua kg akan menerima kalo kerugian negara garuda pln, pertamina jg merugi bahkan banyak bumn rugi",Positive,https://x.com/status/2031400100111831258,2026-03-10 16:01:40,0,0,0,2
pln merugi since_time:1773219381 until_time:1773223761,2031661580585500790,𝒑𝒖𝒏𝒑𝒖𝒏.,sutattca,@Bonnih konon kabarnya pln merugi ratusan triliun karena adik ini bisa menyala sendiri,Neutral,https://x.com/status/2031661580585500790,2026-03-11 09:20:41,0,0,1,8
pln merugi since_time:1773219381 until_time:1773223761,2031657086095175799,harya Budi,bima282828,@RaniKancana Ini demi menambahbpemasukan PLN yang selalu merugi.,Neutral,https://x.com/status/2031657086095175799,2026-03-11 09:02:50,1,0,1,8
pln merugi since_time:1773235465 until_time:1773238105,2031724067645198641,holy man,alboy_aboe,"@kenhans03 @susipudjiastuti Kalau ini benar, kog begini x sadisnya PLN ini!!begitu pun perusahaan ini trus merugi!!!kebnayakan menganiaya org sih!",Neutral,https://x.com/status/2031724067645198641,2026-03-11 13:28:59,0,0,0,8
pln merugi since_time:1773243508 until_time:1773246508,2031765899133485171,tukang permak,tukangpermaks,"@kompascom Wkwkwk.... Wok, kamu tau kenapa PLN selama ini terus merugi? Salah satunya wajib membeli produksi listrik dari pembangkit swasta yg over suplay itu dan sekarang lu minta dibikinin PLTS 100 gigawatt dan PLN harus beli juga?.... Gila lu wok,, beneran pembisik lu emang sarap!!!?",Neutral,https://x.com/status/2031765899133485171,2026-03-11 16:15:13,38,4,3,8
pln merugi since_time:1773243508 until_time:1773246508,2031759603286110541,𝗔𝗥𝗘𝗞 𝗦𝗨𝗥𝗢𝗕𝗢𝗬𝗢,txtkaumurban,@kompascom @AriefUs95953043 Masa sih? PLN yang memonoli energi listrik aja terus merugi loh ..,Neutral,https://x.com/status/2031759603286110541,2026-03-11 15:50:12,7,0,0,8
pln merugi since_time:1773264034 until_time:1773267634,2031851638294782132,Yusuf Hibatullah,ysfhbtl_,"@Anak__Ogi @pln_123 Numpang tiang listrik di lahan orang gak bayar, kompensasi pun gak ada. Telat bayar sekali langsung dikirimi surat. Tapi merugi terus ini, padahal cuma kalian yang jualan listrik di negara ini @pln_123 .",Neutral,https://x.com/status/2031851638294782132,2026-03-11 21:55:55,1,0,1,8
pln merugi since_time:1773264034 until_time:1773267634,2031842851563454907,Gent oo,Genjogo,@Anak__Ogi @pln_123 Perusahaan monopoli berbahan fosil yang selalu merugi seperti petugasnya over acting ehh over supply 💨,Neutral,https://x.com/status/2031842851563454907,2026-03-11 21:21:00,0,0,0,8
pln merugi since_time:1773267635 until_time:1773272015,2031868333608616075,Iron Fortress,maselon21,"@Anak__Ogi @pln_123 emng aneh perusahaan bumn satu ini, udh ga ada kompetitor infonya merugi terus.. gw yakin kalo ada perusahaan listrik lain masyarakat pasti bakal pindah kek vivo &amp; shell yg nyaingin pertamina",Neutral,https://x.com/status/2031868333608616075,2026-03-11 23:02:15,0,0,0,8
pln merugi since_time:1773278798 until_time:1773282758,2031917781554511993,cantrik RajaWali,widzhou78am,"@Anak__Ogi @pln_123 Goblok, tak berperikemanusiaan, merugi terus",Neutral,https://x.com/status/2031917781554511993,2026-03-12 02:18:44,0,0,0,12
pln merugi since_time:1773278798 until_time:1773282758,2031916171617005975,Big_R,RyoSeptiian,"Listrik masih sering padam di beberapa daerah, tiap tahun merugi, kelakuan ke pelanggan kayak gini?  Gak malu kah kalian @pln_123 ?",Neutral,https://x.com/status/2031916171617005975,2026-03-12 02:12:21,1,0,0,12
pln merugi since_time:1773278798 until_time:1773282758,2031914576892350820,Abiabi,Upiakbanun82,"@Jateng_Twit Trus spt biasa PLN merugi, dan tarif listrik dinaikkan sesuka hatinya.",Neutral,https://x.com/status/2031914576892350820,2026-03-12 02:06:00,0,0,0,12
pln merugi since_time:1773278798 until_time:1773282758,2031913002946187313,48squad,48squadsama,@Anak__Ogi @pln_123 BUMN yang merugi Mulu,Neutral,https://x.com/status/2031913002946187313,2026-03-12 01:59:45,0,0,0,12
pln merugi since_time:1773278798 until_time:1773282758,2031909274725810204,NIKA,DarkCokelattt,@Anak__Ogi @pln_123 PLN merugi mulu Rakyat miskin hemat aja dicabut Goblok,Neutral,https://x.com/status/2031909274725810204,2026-03-12 01:44:56,0,0,0,12
pln merugi since_time:1773278798 until_time:1773282758,2031906322657243618,Badrun Abdullah,BadrunJan99,@Jateng_Twit PLN makin banyak merugi deh.... Pemilik pembangkit listrik swasta tersenyum ceria.,Neutral,https://x.com/status/2031906322657243618,2026-03-12 01:33:12,0,0,0,12
pln merugi since_time:1773282759 until_time:1773285519,2031924325088203009,Putri,byputriry,"@Anak__Ogi @pln_123 Ga ada kompetitor, bisa merugi, malah rakyat kecil yang dicurigai",Neutral,https://x.com/status/2031924325088203009,2026-03-12 02:44:45,0,0,0,12
pln merugi since_time:1773319970 until_time:1773324770,2032087706973647092,Berlian M.,daymentz,"@Anak__Ogi @pln_123 Perusahaan monopoli, gaada saingan malah merugi terus. Rakyat sengsara di zalimi mulu",Neutral,https://x.com/status/2032087706973647092,2026-03-12 13:33:58,0,0,0,12
pln merugi since_time:1773319970 until_time:1773324770,2032077692821295325,Patrick Harimo,patrickharimo,"@bangherwin @Jumianto_RK Akan menambah beban BUMN. Boro2 membantu APBN, yg ada hanya segelintir saja BUMN yg mampu mencetak profit. Yg terjadi hutang BUMN menumpuk ujung2nya minta suntikan dana dari negara, alias dari rakyat. Sebut saja PLN, bisa merugi meskipun listrik negeri dimonopoli. Gak masuk akal?",Neutral,https://x.com/status/2032077692821295325,2026-03-12 12:54:10,1,0,0,12
pln merugi since_time:1773335634 until_time:1773338754,2032150516537647330,🎮,haervenly,pln dikabarkan merugi karena cewekku loverrukk udah menyala sendiri tanpa token alias CANTIK BABGETTT TAKBIR,Neutral,https://x.com/status/2032150516537647330,2026-03-12 17:43:33,0,0,0,12
pln merugi since_time:1773345477 until_time:1773348297,2032194030344552693,yan_tanuwidjaya 🇮🇩,romo_atheistan,"Dear @prabowo   Pertamina &amp; PLN merupakan perusahaan MONOPOLI yg tidak ada kompetitor,   Jadi,, bila @pertamina &amp; @pln_123 selalu merugi,, maka dipastikan BUMN merupakan SARANG MALING mulai dr pegawai level terendah hingga direksi   cc @KejaksaanRI @KemensetnegRI @DPR_RI",Neutral,https://x.com/status/2032194030344552693,2026-03-12 20:36:27,0,0,0,12
pln merugi since_time:1773356700 until_time:1773360000,2032242771114016991,Popi Pinky,Kimpoi0101,"@Ambakarok007 @Anak__Ogi @pln_123 gmana ya bang, perusahaan monopoli listrik juga masi merugi wkwkkwkw",Neutral,https://x.com/status/2032242771114016991,2026-03-12 23:50:08,2,0,1,12
pln merugi since_time:1773370264 until_time:1773374164,2032289349463949648,crxvn,_Nataniachm,"@TaryokoL @prabowo PLN surplus listrik tapi merugi itu konsepnya gimana ya 😭😭😭 mohon maaf aku kurang ngikutin berita, boleh tolong jelasin singkatnya ga?",Neutral,https://x.com/status/2032289349463949648,2026-03-13 02:55:13,0,0,0,1
pln merugi since_time:1773494379 until_time:1773497859,2032819637893869929,송강 - 김유정,inienjiee,dikabarkan PLN merugi karena kangyoo menyala tanpa token! https://t.co/U7bDnRPgPM,Neutral,https://x.com/status/2032819637893869929,2026-03-14 14:02:24,96,2,1,2
pln merugi since_time:1773494379 until_time:1773497859,2032818575527071758,ᵔ × ᵔ archie — kinda ia.,04leadergf,@gaonjiseok KAKAK INI MAKIN GANTENG FAKKK CEWEKNYA NAMBAH 1 JUTA MAHASDASYAT ANCISSS YOUN YOUNGJUN ☄️☄️☄️ konon katanya PLN hari ini merugi karena kak yoju terlalu menyala kegantengannya🔥💥❤️‍🔥🔥❤️‍🔥💥💥🔥,Neutral,https://x.com/status/2032818575527071758,2026-03-14 13:58:11,0,0,1,2
pln merugi since_time:1773579302 until_time:1773582662,2033165096458031151,yayA,olattezj,"pln mengaku merugi, krn king sisil bs menyala tanpa token",Neutral,https://x.com/status/2033165096458031151,2026-03-15 12:55:08,1,0,1,1
pln merugi since_time:1773685470 until_time:1773690270,2033618332616978727,Semacam Hewan,keledai_balap,"@toshibatv_id @eleanorr234 saya gak mau hemat energi mintosh, biar PLN gak merugi. TV ente kuat kan kalo gak dimatiin bertahun tahun?",Neutral,https://x.com/status/2033618332616978727,2026-03-16 18:56:07,1,0,0,1
pln merugi since_time:1773744346 until_time:1773747826,2033869234196095261,dean ภพเธอ era 🪷,dnktlim_,"PLN MENGAKU MERUGI, KARENA SENYUMAN KAKAK BISA BUAT DUNIA NYALA TANPA LISTRIK   JAMESSU TOTY MUSIC AWARDS #TOTY2025xDMDMusic https://t.co/dYKEIGRMJi",Neutral,https://x.com/status/2033869234196095261,2026-03-17 11:33:07,1,0,0,1
pln merugi since_time:1773832931 until_time:1773837071,2034237001445290484,HARAM PILIH PSI.,ediedot108,"@elsaday__ Segala keruwetan negara selalu dibebankan pd rakyat,BUMN selalu merugi karena gaji terlalu besar dan dibarengi korupsi yg jd biang keroknya,walaupun dinaikan berapapun jika mental korupsi tdk hilang PLN pasti tdk akan ada kata untung.",Neutral,https://x.com/status/2034237001445290484,2026-03-18 11:54:30,2,0,0,8
pln merugi since_time:1773837072 until_time:1773841632,2034254024606888129,magnetic moon,magneticmoonic,"@elsaday__ PLN itu rugi karna ambisi Jokowi, Bahlul !! Kalo ga ada proyek 35000 MW kondisi PLN ga akan merugi terus kayak gini. Lagi2 yg dirugiin siapa? Rakyat, kalian mah dgn adanya proyek ya cuan terus.",Neutral,https://x.com/status/2034254024606888129,2026-03-18 13:02:08,0,0,3,8
